 n  | Native C time | Python subprocess time | Subprocess overhead 
-------------------------------------------------------------------
 0  |      0.0      |        0.008975        |      0.008975       
 1  |      0.0      |        0.006999        |      0.006999       
 2  |      0.0      |        0.007999        |      0.007999       
 3  |      0.0      |         0.007          |        0.007        
 4  |      0.0      |        0.007004        |      0.007004       
 5  |      0.0      |        0.007998        |      0.007998       
 6  |      0.0      |         0.007          |        0.007        
 7  |      0.0      |        0.006998        |      0.006998       
 8  |      0.0      |        0.007005        |      0.007005       
 9  |      0.0      |        0.006995        |      0.006995       
 10 |      0.0      |         0.007          |        0.007        
 11 |      0.0      |        0.007004        |      0.007004       
 12 |      0.0      |        0.006999        |      0.006999       
 13 |      0.0      |         0.007          |        0.007        
 14 |      0.0      |         0.007          |        0.007        
 15 |      0.0      |         0.007          |        0.007        
 16 |      0.0      |        0.007996        |      0.007996       
 17 |      0.0      |        0.007002        |      0.007002       
 18 |      0.0      |        0.007002        |      0.007002       
 19 |      0.0      |        0.006999        |      0.006999       
 20 |      0.0      |        0.006998        |      0.006998       
 21 |      0.0      |         0.007          |        0.007        
 22 |      0.0      |        0.008001        |      0.008001       
 23 |      0.0      |        0.008001        |      0.008001       
 24 |      0.0      |        0.008001        |      0.008001       
 25 |      0.0      |         0.007          |        0.007        
 26 |      0.0      |        0.008001        |      0.008001       
 27 |     0.001     |        0.007998        |      0.006998       
 28 |     0.001     |        0.008998        |      0.007998       
 29 |     0.002     |         0.011          |        0.009        
 30 |     0.004     |        0.012001        |      0.008001       
 31 |     0.007     |        0.015001        |      0.008001       
 32 |     0.012     |        0.020001        |      0.008001       
 33 |     0.019     |        0.026998        |      0.007998       
 34 |     0.032     |        0.038998        |      0.006998       
 35 |     0.051     |        0.059003        |      0.008003       
