 n  | Native C time | Python subprocess time | Subprocess overhead 
-------------------------------------------------------------------
 0  |      0.0      |        0.00797         |       0.00797       
 1  |      0.0      |         0.007          |        0.007        
 2  |      0.0      |        0.006999        |      0.006999       
 3  |      0.0      |         0.008          |        0.008        
 4  |      0.0      |        0.007002        |      0.007002       
 5  |      0.0      |        0.007001        |      0.007001       
 6  |      0.0      |        0.007998        |      0.007998       
 7  |      0.0      |        0.006999        |      0.006999       
 8  |      0.0      |        0.006998        |      0.006998       
 9  |      0.0      |        0.008002        |      0.008002       
 10 |      0.0      |        0.006999        |      0.006999       
 11 |      0.0      |        0.007003        |      0.007003       
 12 |      0.0      |        0.007999        |      0.007999       
 13 |      0.0      |        0.007001        |      0.007001       
 14 |      0.0      |        0.006999        |      0.006999       
 15 |      0.0      |        0.007003        |      0.007003       
 16 |      0.0      |        0.006996        |      0.006996       
 17 |      0.0      |        0.007002        |      0.007002       
 18 |      0.0      |        0.007998        |      0.007998       
 19 |      0.0      |        0.006999        |      0.006999       
 20 |      0.0      |         0.007          |        0.007        
 21 |      0.0      |        0.007001        |      0.007001       
 22 |      0.0      |        0.007001        |      0.007001       
 23 |      0.0      |        0.007999        |      0.007999       
 24 |      0.0      |        0.007002        |      0.007002       
 25 |      0.0      |         0.008          |        0.008        
 26 |      0.0      |        0.007999        |      0.007999       
 27 |     0.001     |        0.009001        |      0.008001       
 28 |     0.001     |        0.009001        |      0.008001       
 29 |     0.002     |        0.009998        |      0.007998       
 30 |     0.004     |        0.012001        |      0.008001       
 31 |     0.007     |        0.014999        |      0.007999       
 32 |     0.012     |        0.020003        |      0.008003       
 33 |     0.019     |        0.027038        |      0.008038       
 34 |     0.032     |        0.03896         |       0.00696       
 35 |     0.051     |        0.059002        |      0.008002       
